url_path,views_total,views_unique
/deKCD/Training-Materials,27,5
/deKCD/Training-Materials/tree/github-repo-stats,9,2
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials,8,2
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials/latest-report,4,1
/deKCD/Training-Materials/tree/main/_tutorials,3,1
/deKCD/Training-Materials/blob/main/upcoming.md,2,2
/deKCD/Training-Materials/blob/github-repo-stats/deKCD/Training-Materials/latest-report/report.pdf,2,1
/deKCD/Training-Materials/blob/main/CONTRIBUTING.md,2,1
/deKCD/Training-Materials/blob/main/bin/pdf2quarto.py,2,1
/deKCD/Training-Materials/branches,2,1
