time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-20 00:00:00+00:00,1,1,0,0
2026-08-21 00:00:00+00:00,1,1,0,0
2026-08-22 00:00:00+00:00,0,0,0,0
2026-08-23 00:00:00+00:00,0,0,0,0
2026-08-24 00:00:00+00:00,1,1,4,1
2026-08-25 00:00:00+00:00,0,0,26,1
2026-08-26 00:00:00+00:00,9,7,22,3
2026-08-27 00:00:00+00:00,13,1,13,3
2026-08-28 00:00:00+00:00,48,18,189,3
2026-08-29 00:00:00+00:00,3,3,0,0
2026-08-30 00:00:00+00:00,1,1,0,0
2026-08-31 00:00:00+00:00,23,7,94,2
2026-09-01 00:00:00+00:00,7,4,78,1
2026-09-02 00:00:00+00:00,4,3,0,0
2026-09-03 00:00:00+00:00,6,4,41,1
2026-09-04 00:00:00+00:00,5,4,13,1
2026-09-05 00:00:00+00:00,5,5,0,0
2026-09-06 00:00:00+00:00,16,2,0,0
2026-09-07 00:00:00+00:00,12,5,46,3
2026-09-08 00:00:00+00:00,3,3,13,3
2026-09-09 00:00:00+00:00,2,2,0,0
2026-09-10 00:00:00+00:00,2,2,2,1
2026-09-11 00:00:00+00:00,2,2,1,1
2026-09-12 00:00:00+00:00,2,2,0,0
2026-09-13 00:00:00+00:00,2,2,0,0
2026-09-14 00:00:00+00:00,2,2,2,1
2026-09-15 00:00:00+00:00,14,7,1,1
2026-09-16 00:00:00+00:00,23,12,8,2
2026-09-17 00:00:00+00:00,5,5,5,1
2026-09-18 00:00:00+00:00,12,5,15,3
2026-09-19 00:00:00+00:00,4,4,0,0
2026-09-20 00:00:00+00:00,28,13,4,1
2026-09-21 00:00:00+00:00,24,13,35,5
2026-09-22 00:00:00+00:00,16,6,1,1
